target	frequency
regex=[Bb][Oo][Nn][Hh][Ee][Uu][RrSs]?	1212
bonheur	1134
Bonheur	72
BONHEUR	5
bOnHeUR	1

token	corpus size	all contexts size	frequency	co-frequency	specificity
l'acceptation	24995	15566	2	2	0.41
circonstances	24995	15566	2	2	0.41
recettes	24995	15566	2	2	0.41
donné	24995	15566	2	2	0.41
davantage	24995	15566	2	2	0.41
accompli	24995	15566	2	2	0.41
sine	24995	15566	2	2	0.41
qua	24995	15566	2	2	0.41
l'accès	24995	15566	2	2	0.41
pourra	24995	15566	2	2	0.41
familial	24995	15566	2	2	0.41
pallier	24995	15566	2	2	0.41
parachèveraient	24995	15566	2	2	0.41
noyau	24995	15566	2	2	0.41
raisons	24995	15566	2	2	0.41
Avatar	24995	15566	2	2	0.41
Alex	24995	15566	2	2	0.41
travaillé	24995	15566	2	2	0.41
MA	24995	15566	2	2	0.41
Spoiler	24995	15566	2	2	0.41
Input	24995	15566	2	2	0.41
not	24995	15566	2	2	0.41
implemented	24995	15566	2	2	0.41
entièrement	24995	15566	2	2	0.41
finalité	24995	15566	2	2	0.41
paul	24995	15566	2	2	0.41
Djobydjoba	24995	15566	2	2	0.41
Ant	24995	15566	2	2	0.41
Man	24995	15566	2	2	0.41
perle	24995	15566	2	2	0.41
l'huitre	24995	15566	2	2	0.41
bruno	24995	15566	2	2	0.41
travaillent	24995	15566	2	2	0.41
dur	24995	15566	2	2	0.41
changent	24995	15566	2	2	0.41
dédié	24995	15566	2	2	0.41
réactions	24995	15566	2	2	0.41
franchement	24995	15566	2	2	0.41
moine	24995	15566	2	2	0.41
sûrement	24995	15566	2	2	0.41
Finalement	24995	15566	2	2	0.41
nécessaires	24995	15566	2	2	0.41
n'était	24995	15566	2	2	0.41
conseils	24995	15566	2	2	0.41
n'importe	24995	15566	2	2	0.41
Partager	24995	15566	2	2	0.41
étiquettes	24995	15566	2	2	0.41
attendre	24995	15566	2	2	0.41
retrouvé	24995	15566	2	2	0.41
douleur	24995	15566	2	2	0.41
froid	24995	15566	2	2	0.41
dépendant	24995	15566	2	2	0.41
comparaison	24995	15566	2	2	0.41
athéesouhaits	24995	15566	2	2	0.41
relative	24995	15566	2	2	0.41
leela	24995	15566	2	2	0.41
distinguer	24995	15566	2	2	0.41
durent	24995	15566	2	2	0.41
l'échelle	24995	15566	2	2	0.41
Avoir	24995	15566	2	2	0.41
